Blender 4.3.2 | samples=248 res=1400
=== BUILD golden_chalice ===
RENDER golden_chalice -> /workspace/bot-campus-publish/gold-studio/golden_chalice.png
Blender 4.3.2
Fra:1 Mem:13.92M (Peak 13.93M) | Time:00:00.02 | Mem:1.15M, Peak:1.63M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:13.92M (Peak 13.93M) | Time:00:00.02 | Mem:1.69M, Peak:1.69M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:13.92M (Peak 13.93M) | Time:00:00.02 | Mem:1.69M, Peak:1.69M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:13.92M (Peak 13.93M) | Time:00:00.02 | Mem:1.69M, Peak:1.69M | Scene, ViewLayer | Updating Images
Fra:1 Mem:13.92M (Peak 13.93M) | Time:00:00.02 | Mem:1.69M, Peak:1.69M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:13.92M (Peak 13.93M) | Time:00:00.02 | Mem:1.69M, Peak:1.69M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:13.92M (Peak 13.93M) | Time:00:00.02 | Mem:1.77M, Peak:1.77M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:13.92M (Peak 13.93M) | Time:00:00.02 | Mem:1.77M, Peak:1.77M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:15.07M (Peak 15.81M) | Time:00:00.03 | Mem:2.91M, Peak:2.91M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:15.07M (Peak 15.81M) | Time:00:00.03 | Mem:2.91M, Peak:2.91M | Scene, ViewLayer | Updating Film
Fra:1 Mem:15.07M (Peak 15.81M) | Time:00:00.03 | Mem:2.83M, Peak:2.91M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:15.07M (Peak 15.81M) | Time:00:00.03 | Mem:2.92M, Peak:2.92M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:15.07M (Peak 15.81M) | Time:00:00.03 | Mem:2.92M, Peak:2.92M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:15.07M (Peak 15.81M) | Time:00:00.03 | Mem:2.92M, Peak:2.92M | Scene, ViewLayer | Sample 0/248
Fra:1 Mem:82.39M (Peak 82.39M) | Time:00:00.41 | Remaining:01:32.93 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Sample 1/248
Fra:1 Mem:82.39M (Peak 82.39M) | Time:00:16.86 | Remaining:00:48.37 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Sample 64/248
Fra:1 Mem:82.39M (Peak 82.39M) | Time:00:20.26 | Remaining:00:42.48 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Sample 80/248
Fra:1 Mem:82.39M (Peak 82.39M) | Time:00:23.57 | Remaining:00:37.26 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Sample 96/248
Fra:1 Mem:82.39M (Peak 82.39M) | Time:00:26.87 | Remaining:00:32.59 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Sample 112/248
Fra:1 Mem:82.39M (Peak 82.39M) | Time:00:30.16 | Remaining:00:28.24 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Sample 128/248
Fra:1 Mem:82.39M (Peak 82.39M) | Time:00:33.32 | Remaining:00:24.04 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Sample 144/248
Fra:1 Mem:82.39M (Peak 82.39M) | Time:00:36.58 | Remaining:00:20.10 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Sample 160/248
Fra:1 Mem:82.39M (Peak 82.39M) | Time:00:39.84 | Remaining:00:16.28 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Sample 176/248
Fra:1 Mem:82.39M (Peak 82.39M) | Time:00:42.99 | Remaining:00:12.52 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Sample 192/248
Fra:1 Mem:82.39M (Peak 82.39M) | Time:00:46.14 | Remaining:00:08.86 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Sample 208/248
