Blender 4.3.2
Fra:1 Mem:35.26M (Peak 35.26M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pick9
Fra:1 Mem:35.27M (Peak 35.27M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post10
Fra:1 Mem:35.30M (Peak 35.30M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pick10
Fra:1 Mem:35.30M (Peak 35.30M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EHead19
Fra:1 Mem:35.32M (Peak 35.32M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post11
Fra:1 Mem:35.35M (Peak 35.35M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pick11
Fra:1 Mem:35.36M (Peak 35.36M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post12
Fra:1 Mem:35.37M (Peak 35.37M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EBody19
Fra:1 Mem:35.39M (Peak 35.39M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pick12
Fra:1 Mem:35.39M (Peak 35.39M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg18_1
Fra:1 Mem:35.39M (Peak 35.39M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pick13
Fra:1 Mem:35.42M (Peak 35.42M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg18_-1
Fra:1 Mem:35.44M (Peak 35.44M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post14
